246,2:05:22,Norbert Kigen,KEN,24.01.93,5,Valencia,02.12.2018
246,2:05:22,Berhane Afewerki,ERI,06.05.96,7,Amsterdam,17.10.2021
246,2:05:22,Titus Kibiego,KEN,03.05.96,4,Rotterdam,24.10.2021
246,2:05:22,Mohrad Amdouni,FRA,21.06.88,3,Paris,03.04.2022
246,2:05:22,Deso Gelmisa,ETH,14.12.97,1,Tokyo,05.03.2023
246,2:05:22,Huseyidin Mohamed,ETH,11.09.00,2,Tokyo,05.03.2023
252,2:05:23,Feyisa Lelisa,ETH,01.02.90,4,Rotterdam,11.04.2010
252,2:05:23,Geoffrey Kamworor,KEN,28.11.92,4,Valencia,05.12.2021
252,2:05:23,Bashir Abdi,BEL,10.02.89,4,Rotterdam,10.04.2022
255,2:05:24,Samuel Wanjiru,KEN,10.11.86,2,London,13.04.2008
255,2:05:24,Mosinet Geremew,ETH,12.02.92,2,Chicago,07.10.2018
255,2:05:24,Mekuant Ayenew,ETH,24.10.91,3,Sevilla,19.02.2023
258,2:05:25,Bado Worku,ETH,22.07.88,3,Berlin,26.09.2010
258,2:05:25,Albert Matebor,KEN,20.12.80,3,Frankfurt,30.10.2011
258,2:05:25,Joel Kimurer,KEN,21.01.88,8,Paris,17.10.2021
258,2:05:25,Tsegaye Getachew,ETH,30.11.96,3,Tokyo,05.03.2023
262,2:05:26,Abraham Kiptum,KEN,15.09.89,3,Amsterdam,15.10.2017
262,2:05:26,El Mahjoub Dazza,MAR,03.03.91,6,Valencia,02.12.2018
264,2:05:27,Jaouad Gharib,MAR,22.05.72,3,London,26.04.2009
264,2:05:27,Wilson Chebet,KEN,07.12.85,1,Rotterdam,10.04.2011
264,2:05:27,Tilahun Regessa,ETH,18.01.90,3,Chicago,07.10.2012
264,2:05:27,Kaan Kigen Özbilen,TUR,15.01.86,2,Rotterdam,07.04.2019
264,2:05:27,Abebe Degefa,ETH,20.05.84,5,Valencia,05.12.2021
264,2:05:27,Kinde Atanaw,ETH,15.04.93,4,London,02.10.2022
264,2:05:27,Amdework Walelegn,ETH,11.03.99,1,Seoul,19.03.2023
271,2:05:28,Lemi Berhanu,ETH,13.09.94,1,Dubai,23.01.2015
271,2:05:28,Betesfa Getahun,ETH,25.09.98,4,Amsterdam,20.10.2019
271,2:05:28,Goitom Kifle,ERI,03.12.93,6,Valencia,05.12.2021
271,2:05:28,Kengo Suzuki,JPN,11.06.95,4,Tokyo,06.03.2022
275,2:05:29,Haile Gebrselassie,ETH,18.04.73,1,Dubai,16.01.2009
275,2:05:29,Shifera Tamru,ETH,01.10.98,1,Seoul,03.11.2019
275,2:05:29,Suguru Osako,JPN,23.05.91,4,Tokyo,01.03.2020
275,2:05:29,Leul Gebrselassie,ETH,20.09.93,9,Valencia,06.12.2020
275,2:05:29,Milkesa Mengesha,ETH,16.04.00,7,Valencia,04.12.2022
275,2:05:29,Seifu Tura,ETH,17.06.97,5,Chicago,08.10.2023
281,2:05:30,Abderrahim Goumri,MAR,21.05.76,3,London,13.04.2008
281,2:05:30,Eliud Kipchoge,KEN,05.11.84,1,Hamburg,21.04.2013
281,2:05:30,Evans Chebet,KEN,05.03.88,2,Valencia,19.11.2017
